parameter,value,is_baseline,n_runs,n_reached_B,n_reached_C,n_reached_D,n_reached_both,clock_before_map_count,clock_before_map_pct,mean_B_tick,mean_C_tick,mean_D_tick,mean_delay,mean_final_S,mean_final_CV,mean_final_pop,mean_max_gen,phase_A,phase_B,phase_C,phase_D,elapsed_s
LIPID_SUPPLY,0.008,False,100,100,97,90,97,97,100.0,7752.5,7910.8247422680415,10874.444444444445,129.89690721649484,0.8226011926040536,0.07497689758611104,36.99,4.74,0,3,7,90,990.0
LIPID_SUPPLY,0.015,True,100,100,97,80,97,97,100.0,4416.0,4518.556701030928,7112.5,78.8659793814433,0.7521093934657955,0.05466800753658709,37.89,4.72,0,3,17,80,1141.8
LIPID_SUPPLY,0.025,False,100,100,98,79,98,98,100.0,2785.0,2862.2448979591836,5982.911392405063,151.0204081632653,0.6435430158654806,0.04560132718128251,39.35,4.87,0,2,19,79,1144.9
RD_NOISE,0.001,False,100,100,97,77,97,97,100.0,4377.0,4474.742268041237,6434.415584415585,75.25773195876289,0.7564342226427623,0.054920647518038386,37.73,4.54,0,3,20,77,1078.9
RD_NOISE,0.004,True,100,100,97,80,97,97,100.0,4416.0,4518.556701030928,7112.5,78.8659793814433,0.7521093934657955,0.05466800753658709,37.89,4.72,0,3,17,80,1100.6
RD_NOISE,0.01,False,100,100,97,83,97,97,100.0,4462.0,4572.164948453608,6457.22891566265,85.05154639175258,0.7499316100870841,0.053778303459927186,37.9,4.67,0,3,14,83,1090.2
GROWTH_PERTURB,0.05,False,100,100,97,82,97,97,100.0,4419.5,4523.19587628866,6888.414634146341,79.89690721649484,0.747949511335467,0.05469523696842048,38.04,4.78,0,3,15,82,1035.6
GROWTH_PERTURB,0.15,True,100,100,97,80,97,97,100.0,4416.0,4518.556701030928,7112.5,78.8659793814433,0.7521093934657955,0.05466800753658709,37.89,4.72,0,3,17,80,1037.1
GROWTH_PERTURB,0.3,False,100,100,97,79,97,97,100.0,4407.0,4506.18556701031,7343.037974683544,75.77319587628865,0.7529401734805219,0.05454312499780224,37.75,4.67,0,3,18,79,1031.1
STAB_WINDOW,20,False,100,100,97,94,97,97,100.0,4961.5,5059.278350515464,6753.723404255319,57.21649484536083,0.8762994970560521,0.05717410797314877,46.6,4.7,0,3,3,94,1302.2
STAB_WINDOW,40,True,100,100,97,80,97,97,100.0,4416.0,4518.556701030928,7112.5,78.8659793814433,0.7521093934657955,0.05466800753658709,37.89,4.72,0,3,17,80,1037.7
STAB_WINDOW,80,False,100,100,97,50,97,97,100.0,4187.0,4383.505154639175,7498.0,179.89690721649484,0.5292061759182117,0.054838189624561585,30.57,4.29,0,3,47,50,832.2
