seed,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
0,C,4950,5000,-1,True,45,0.6147,0.0448,4,612
1,C,5950,6000,-1,True,39,0.7382,0.0406,4,606
2,C,9600,9650,-1,True,36,0.8181,0.0439,3,607
3,D,3900,4200,5050,True,36,0.9273,0.0437,5,594
4,D,4650,4700,6800,True,43,0.5546,0.0474,5,604
5,D,3750,4400,5250,True,39,0.7382,0.0418,6,597
6,C,8800,8850,-1,True,38,0.8414,0.0434,4,599
7,D,4850,4900,12600,True,45,0.5978,0.0440,5,596
8,D,3750,3900,5150,True,35,0.9296,0.0426,4,595
9,D,4300,4350,5650,True,40,0.6830,0.0410,7,599
10,D,3650,3700,5300,True,36,0.8580,0.0447,6,604
11,D,3650,3700,5100,True,38,0.8289,0.0407,5,590
12,C,8050,8100,-1,True,41,0.7357,0.0430,4,605
13,D,4750,4800,29700,True,40,0.7880,0.0448,4,594
14,D,4200,4250,5650,True,42,0.6467,0.0413,5,599
15,B,3900,-1,-1,True,17,0.0000,0.0858,10,539
16,D,4050,4100,5900,True,42,0.6705,0.0457,5,605
17,D,3600,3650,5150,True,38,0.8049,0.0423,4,596
18,D,4050,4100,5400,True,39,0.7983,0.0398,4,598
19,C,4800,4850,-1,True,40,0.7453,0.0408,4,597
20,D,3850,3900,5250,True,37,0.8233,0.0434,5,599
21,D,3800,4200,5000,True,38,0.8472,0.0437,5,596
22,D,4100,4150,5850,True,37,0.7731,0.0460,4,598
23,D,5400,5450,6400,True,38,0.8066,0.0407,5,603
24,D,4600,4650,7700,True,41,0.7256,0.0421,5,597
25,C,4800,4850,-1,True,40,0.7253,0.0441,4,595
26,D,3650,4050,4900,True,39,0.7262,0.0411,5,595
27,D,3750,3800,5650,True,37,0.8381,0.0404,5,598
28,D,5650,5700,7000,True,38,0.8216,0.0425,6,601
29,D,4900,4950,6500,True,37,0.8973,0.0421,5,588
30,D,4300,4350,5550,True,45,0.5937,0.0409,5,599
31,D,4650,4700,5950,True,37,0.8953,0.0440,4,591
32,D,4450,4500,10000,True,41,0.6578,0.0420,5,597
33,D,3600,3650,4900,True,39,0.7462,0.0439,5,591
34,D,5450,5500,14350,True,37,0.8727,0.0484,4,599
35,D,4800,4850,19000,True,35,0.9415,0.0438,4,594
36,C,4750,4800,-1,True,43,0.6417,0.0422,4,597
37,C,4800,4850,-1,True,40,0.7391,0.0412,4,590
38,D,3850,3900,5000,True,36,0.8797,0.0428,5,594
39,B,3450,-1,-1,True,0,0.0000,1.0000,0,381
40,C,4800,4850,-1,True,40,0.6902,0.0447,4,595
41,D,3950,4000,6100,True,38,0.7557,0.0419,4,603
42,D,3650,3700,5800,True,40,0.6490,0.0428,5,610
43,D,3750,3800,5400,True,41,0.6543,0.0404,5,601
44,B,3600,-1,-1,True,23,0.0000,0.2529,9,519
45,D,4350,4400,5650,True,39,0.7067,0.0409,5,599
46,D,3850,3900,5250,True,36,0.8358,0.0417,6,600
47,D,4250,4300,5450,True,39,0.7104,0.0415,7,603
48,D,3800,3850,6050,True,42,0.6558,0.0412,5,602
49,D,3700,3750,5050,True,38,0.8013,0.0424,6,597
50,D,4150,4200,27400,True,46,0.5737,0.0416,4,599
51,D,4350,4400,6000,True,39,0.7607,0.0455,4,599
52,D,4350,4400,5600,True,40,0.6934,0.0418,5,601
53,D,3950,4000,5600,True,37,0.9232,0.0412,4,602
54,D,3700,3750,5400,True,35,0.9325,0.0448,4,597
55,D,5300,5350,6600,True,42,0.6822,0.0424,5,599
56,C,4750,4800,-1,True,41,0.7101,0.0423,4,596
57,D,4700,4750,6550,True,37,0.8841,0.0419,4,592
58,D,3750,3800,5600,True,39,0.7202,0.0468,5,605
59,D,5150,5200,8400,True,37,0.8161,0.0427,5,593
60,D,3900,4150,4950,True,39,0.8118,0.0439,6,596
61,C,4600,4650,-1,True,39,0.7725,0.0426,3,590
62,D,3850,4300,6450,True,36,0.8372,0.0402,5,589
63,D,4750,4800,8650,True,42,0.6796,0.0420,5,597
64,D,4250,4300,5500,True,39,0.7405,0.0416,4,599
65,D,4350,4400,5950,True,38,0.7531,0.0443,5,595
66,D,3850,3900,5500,True,37,0.8140,0.0412,4,599
67,D,4150,4200,5450,True,36,0.7957,0.0438,6,602
68,D,3800,4000,5500,True,37,0.8529,0.0428,4,599
69,D,3650,3700,5450,True,36,0.9304,0.0429,5,591
70,D,3850,3900,5350,True,36,0.8428,0.0405,4,597
71,D,4350,4400,6000,True,43,0.6583,0.0420,5,602
72,D,4250,4300,7400,True,41,0.6901,0.0430,6,603
73,D,3800,3850,5300,True,36,0.8505,0.0403,5,598
74,D,4150,4200,5900,True,36,0.7791,0.0428,5,606
75,D,4200,4250,7650,True,34,0.9324,0.0417,4,597
76,D,4750,4800,15050,True,41,0.6664,0.0413,5,599
77,D,4250,4300,5950,True,41,0.6925,0.0437,6,603
78,D,4250,4300,5800,True,36,0.8446,0.0421,4,598
79,D,4150,4200,9600,True,43,0.5979,0.0423,5,602
80,D,4700,4750,5950,True,37,0.8130,0.0403,6,590
81,D,4250,4300,6000,True,42,0.6215,0.0398,4,602
82,D,3850,3900,5000,True,36,0.7680,0.0396,5,598
83,C,5000,5050,-1,True,38,0.8214,0.0453,4,591
84,D,4800,4850,6500,True,39,0.7954,0.0422,5,600
85,C,8200,8250,-1,True,36,0.8846,0.0394,3,607
86,D,4350,4400,5800,True,45,0.6066,0.0463,6,605
87,D,4350,4400,5550,True,39,0.7239,0.0406,5,599
88,D,3850,3950,5200,True,34,0.9778,0.0444,4,590
89,D,3600,3650,5200,True,37,0.8909,0.0449,4,595
90,D,3650,3700,5750,True,34,0.9511,0.0407,4,599
91,D,3450,3800,4350,True,41,0.7590,0.0438,7,594
92,D,4200,4250,5700,True,37,0.8110,0.0438,5,597
93,D,4100,4150,6000,True,37,0.7652,0.0416,4,603
94,D,3550,3600,5050,True,38,0.8033,0.0390,5,593
95,D,4400,4450,5800,True,38,0.7357,0.0465,4,604
96,D,4250,4300,5950,True,44,0.6092,0.0433,4,602
97,D,3600,3800,4800,True,38,0.8110,0.0418,7,594
98,C,5250,5300,-1,True,40,0.7346,0.0427,4,611
99,D,3750,3800,5250,True,35,0.9427,0.0398,5,593
