seed,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
0,C,2950,3000,-1,True,39,0.6475,0.0411,4,949
1,C,3150,3200,-1,True,37,0.7446,0.0469,3,929
2,D,3300,3350,15300,True,42,0.6591,0.0400,5,940
3,D,2750,2950,3000,True,36,0.8449,0.0432,5,941
4,D,3000,3050,4250,True,38,0.7210,0.0435,4,942
5,D,2200,7050,7100,True,37,0.7083,0.0422,11,912
6,C,3000,3050,-1,True,39,0.6848,0.0402,4,934
7,C,2850,2900,-1,True,36,0.7955,0.0439,3,939
8,D,2350,2500,3100,True,40,0.6348,0.0390,5,950
9,D,2650,2700,3650,True,42,0.6382,0.0407,4,935
10,D,2350,2500,3300,True,43,0.5341,0.0438,4,936
11,D,2250,2500,2850,True,33,0.9128,0.0398,5,931
12,D,3150,3200,8600,True,35,0.8432,0.0412,3,928
13,C,3050,3100,-1,True,36,0.7381,0.0399,3,923
14,D,2700,2750,3450,True,47,0.4935,0.0416,5,934
15,D,2750,3200,3850,True,36,0.7555,0.0429,6,918
16,D,2400,2550,3250,True,43,0.5301,0.0422,4,938
17,D,2350,2500,2850,True,37,0.7407,0.0393,5,946
18,D,2300,2400,3100,True,41,0.6220,0.0413,4,930
19,C,3100,3150,-1,True,41,0.6449,0.0409,3,948
20,D,2350,2500,3050,True,38,0.6202,0.0455,4,935
21,D,2850,3050,3100,True,40,0.7108,0.0435,5,929
22,C,2450,2500,-1,True,45,0.5233,0.0426,4,935
23,D,3250,3300,11650,True,39,0.6709,0.0409,5,946
24,D,2550,2600,3500,True,39,0.6374,0.0410,4,931
25,D,2800,2850,21050,True,37,0.8163,0.0445,4,940
26,D,2800,2950,3050,True,42,0.6328,0.0421,5,928
27,D,2350,2500,3200,True,43,0.5759,0.0417,4,948
28,D,3450,3500,15200,True,46,0.5265,0.0421,4,947
29,C,3000,3050,-1,True,45,0.5205,0.0432,4,932
30,C,2650,2800,-1,True,41,0.6697,0.0408,3,935
31,C,2750,2800,-1,True,36,0.7482,0.0431,4,934
32,D,2700,2750,9750,True,40,0.5856,0.0455,4,933
33,D,3050,3150,3200,True,39,0.7054,0.0422,5,935
34,D,3200,3250,16900,True,41,0.6419,0.0409,5,933
35,C,2900,2950,-1,True,35,0.7924,0.0440,3,936
36,C,2950,3000,-1,True,36,0.7137,0.0443,3,950
37,D,2850,2900,22950,True,37,0.7749,0.0395,4,941
38,D,2350,2600,3200,True,38,0.7073,0.0420,4,945
39,B,6700,-1,-1,True,24,0.0000,0.2767,30,765
40,D,3000,3050,7050,True,39,0.6651,0.0421,5,932
41,D,2700,2750,8550,True,41,0.6617,0.0415,4,928
42,D,2350,2550,3400,True,41,0.6606,0.0441,4,943
43,D,2250,2300,3000,True,41,0.5777,0.0410,5,935
44,B,6100,-1,-1,True,7,0.0000,0.1757,26,812
45,D,2600,2650,3600,True,41,0.5668,0.0445,4,938
46,D,6200,6250,7200,True,42,0.5868,0.0399,5,945
47,D,2650,2700,3600,True,42,0.5624,0.0402,4,938
48,D,2350,2500,3100,True,42,0.6006,0.0408,5,946
49,D,2350,2550,3150,True,39,0.6064,0.0407,4,943
