seed,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
0,C,5100,5150,-1,True,40,0.7369,0.0436,4,608
1,C,5250,5300,-1,True,35,0.9294,0.0408,3,596
2,C,9600,9650,-1,True,38,0.7964,0.0432,3,609
3,D,3900,4200,5050,True,36,0.9273,0.0437,5,594
4,D,4800,4850,6550,True,38,0.7772,0.0439,5,592
5,D,3750,4400,5250,True,39,0.7382,0.0418,6,597
6,C,8800,8850,-1,True,38,0.8414,0.0434,4,599
7,D,4850,4900,12600,True,45,0.5978,0.0440,5,596
8,D,3750,3900,5150,True,35,0.9296,0.0426,4,595
9,D,4300,4350,5650,True,42,0.7003,0.0434,6,596
10,D,3650,3700,5300,True,36,0.8580,0.0447,6,604
11,D,3650,3700,5100,True,38,0.8289,0.0407,5,590
12,C,8050,8100,-1,True,37,0.8031,0.0444,3,606
13,D,4750,4800,29700,True,40,0.7880,0.0448,4,594
14,D,4200,4250,5650,True,39,0.7160,0.0426,5,598
15,B,3900,-1,-1,True,17,0.0000,0.0858,10,539
16,D,3850,3900,10450,True,38,0.8108,0.0441,4,595
17,D,3600,3650,5150,True,38,0.8056,0.0425,7,601
18,D,4050,4100,5400,True,39,0.7983,0.0398,4,598
19,C,4800,4850,-1,True,40,0.7353,0.0417,4,596
20,D,3850,3900,5250,True,37,0.8233,0.0434,5,599
21,D,3800,4200,5000,True,35,0.9634,0.0459,5,594
22,D,4100,4150,5850,True,37,0.7731,0.0460,4,598
23,D,5250,5300,8600,True,37,0.8760,0.0423,4,592
24,D,4600,4650,7700,True,37,0.8647,0.0422,5,595
25,C,4800,4850,-1,True,38,0.7946,0.0431,4,595
26,D,3650,4050,4900,True,39,0.7262,0.0411,5,595
27,D,3750,3800,5650,True,37,0.8381,0.0404,5,598
28,D,5650,5700,7000,True,42,0.6379,0.0430,6,607
29,D,4700,4750,6100,True,41,0.6665,0.0419,5,593
30,D,4300,4350,5550,True,45,0.5937,0.0409,5,599
31,D,4650,4700,6000,True,37,0.7708,0.0408,4,591
32,D,4800,4850,6350,True,41,0.6649,0.0412,4,595
33,D,3600,3650,4900,True,39,0.7462,0.0439,5,591
34,D,5300,5350,31350,True,41,0.5984,0.0452,4,599
35,D,4800,4850,19000,True,35,0.9415,0.0438,4,594
36,C,4750,4800,-1,True,43,0.6417,0.0422,4,597
37,C,4800,4850,-1,True,37,0.8960,0.0413,3,596
38,D,3850,3900,5000,True,36,0.8797,0.0428,5,594
39,B,3450,-1,-1,True,0,0.0000,1.0000,0,381
40,C,4700,4750,-1,True,38,0.7920,0.0438,3,590
41,D,3950,4000,6100,True,43,0.6240,0.0422,5,606
42,D,3650,3700,5800,True,42,0.6339,0.0438,5,611
43,D,3750,3800,5400,True,41,0.6543,0.0404,5,601
44,B,3600,-1,-1,True,23,0.0000,0.2529,9,519
45,D,4350,4400,5650,True,42,0.6264,0.0419,5,603
46,D,3850,3900,5250,True,36,0.8358,0.0417,6,600
47,D,4250,4300,5450,True,39,0.7104,0.0415,7,603
48,D,3800,3850,6050,True,42,0.6558,0.0412,5,602
49,D,3700,3750,5050,True,37,0.7884,0.0430,6,598
50,D,4150,4200,27400,True,42,0.6879,0.0405,4,597
51,D,4350,4400,6000,True,39,0.7607,0.0455,4,599
52,D,4350,4400,5800,True,35,0.8432,0.0409,4,603
53,D,3950,4000,5600,True,37,0.9232,0.0412,4,602
54,D,3700,3750,5400,True,36,0.9341,0.0468,4,599
55,D,5300,5350,6600,True,38,0.8126,0.0427,6,597
56,C,4750,4800,-1,True,40,0.7418,0.0410,3,596
57,D,4700,4750,6550,True,37,0.8841,0.0419,4,592
58,D,3750,3800,5600,True,39,0.7202,0.0468,5,605
59,C,5300,5350,-1,True,38,0.8706,0.0428,3,599
60,D,3900,4150,4950,True,39,0.8118,0.0439,6,596
61,C,4600,4650,-1,True,39,0.7725,0.0426,3,590
62,D,3750,3800,6900,True,42,0.6540,0.0400,5,593
63,C,4800,4850,-1,True,41,0.6376,0.0458,4,601
64,D,4250,4300,5500,True,42,0.6043,0.0434,4,604
65,D,4350,4400,5950,True,38,0.7531,0.0443,5,595
66,D,3850,3900,5500,True,37,0.8140,0.0412,4,599
67,D,4150,4200,5450,True,39,0.7179,0.0417,6,603
68,D,3800,4000,5500,True,37,0.8529,0.0428,4,599
69,D,3650,3700,5450,True,36,0.9304,0.0429,5,591
70,D,3950,4000,5450,True,35,0.9215,0.0440,4,594
71,D,4350,4400,6000,True,35,0.8263,0.0387,5,600
72,D,4250,4300,7400,True,41,0.6804,0.0431,6,602
73,D,3800,3850,5300,True,36,0.8505,0.0403,5,598
74,D,4150,4200,5800,True,38,0.7347,0.0421,5,598
