seed,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
0,C,4600,4650,-1,True,38,0.3589,0.0439,4,583
1,C,4600,4650,-1,True,28,0.7307,0.0408,3,575
2,D,4750,4800,5900,True,40,0.3021,0.0467,5,587
3,D,3700,4300,5550,True,34,0.4426,0.0430,5,586
4,C,4450,4500,-1,True,29,0.5762,0.0438,4,570
5,D,3650,4400,4800,True,29,0.5949,0.0429,8,570
6,C,4650,4700,-1,True,37,0.3402,0.0440,4,586
7,C,4800,4850,-1,True,30,0.6190,0.0449,4,585
8,D,3650,3700,4800,True,29,0.5200,0.0405,5,575
9,C,4300,4350,-1,True,29,0.6906,0.0418,3,578
10,D,3650,3700,5050,True,31,0.5488,0.0485,5,582
11,D,3750,4500,6650,True,32,0.6846,0.0464,4,584
12,C,4550,4600,-1,True,27,0.6905,0.0448,3,569
13,C,4500,4550,-1,True,27,0.7253,0.0423,3,584
14,C,4350,4450,-1,True,30,0.5476,0.0444,4,582
15,B,3900,-1,-1,True,17,0.0000,0.0858,10,539
16,D,3800,4150,6150,True,27,0.5989,0.0424,4,568
17,D,3700,4150,7750,True,31,0.6056,0.0402,5,571
18,D,3650,3700,6400,True,35,0.4821,0.0417,4,575
19,C,4600,4650,-1,True,39,0.4261,0.0399,4,589
20,D,3750,4200,4950,True,28,0.7349,0.0408,4,569
21,D,3850,4350,4900,True,30,0.6706,0.0450,5,574
22,C,4300,4350,-1,True,32,0.4115,0.0431,3,584
23,D,4600,4650,5800,True,33,0.4224,0.0419,4,583
24,C,4450,4500,-1,True,31,0.4997,0.0395,3,580
25,C,4550,4600,-1,True,36,0.3728,0.0407,3,584
26,D,3700,4250,5750,True,31,0.5064,0.0425,5,574
27,D,3800,4150,8550,True,30,0.6517,0.0416,4,574
28,C,5150,5200,-1,True,38,0.3353,0.0462,3,593
29,D,4500,4550,5550,True,30,0.4805,0.0425,5,576
30,C,4250,4500,-1,True,32,0.4909,0.0516,4,577
31,C,4400,4450,-1,True,31,0.5148,0.0415,4,579
32,C,4400,4450,-1,True,27,0.5176,0.0454,3,583
33,D,3550,4250,4700,True,33,0.4262,0.0421,6,575
34,D,4800,4850,5550,True,26,0.6337,0.0443,6,568
35,C,4500,4550,-1,True,38,0.3246,0.0438,4,588
36,C,4700,4750,-1,True,32,0.6061,0.0437,3,571
37,C,4700,4750,-1,True,32,0.5356,0.0417,3,572
38,D,3600,3650,4900,True,30,0.5343,0.0434,7,574
39,B,3450,-1,-1,True,0,0.0000,1.0000,0,381
40,C,4650,4700,-1,True,33,0.4330,0.0418,4,587
41,C,4050,4100,-1,True,32,0.5631,0.0429,4,582
42,D,3850,4250,5050,True,29,0.6278,0.0406,4,575
43,D,3750,3800,4950,True,28,0.6072,0.0447,5,576
44,B,3600,-1,-1,True,23,0.0000,0.2529,9,519
45,C,4150,4200,-1,True,32,0.5397,0.0406,4,582
46,D,3800,3850,4950,True,28,0.6085,0.0381,5,566
47,C,4250,4300,-1,True,30,0.5773,0.0401,4,573
48,D,3850,4300,4950,True,27,0.7674,0.0409,6,573
49,D,3650,3700,5100,True,32,0.5349,0.0414,5,577
50,D,4200,4250,9800,True,30,0.4963,0.0435,5,585
51,C,4000,4050,-1,True,32,0.4903,0.0421,4,589
