seed,max_ticks,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
0,80000,C,5100,5150,-1,True,39,0.8214,0.0415,3,1227
1,80000,C,5250,5300,-1,True,37,0.8100,0.0414,3,1206
2,80000,C,9600,9650,-1,True,40,0.7635,0.0411,3,1215
3,80000,D,3900,4200,5050,True,39,0.7806,0.0407,5,1208
4,80000,D,4800,4850,6550,True,38,0.7447,0.0408,4,1198
5,80000,D,3750,4400,5250,True,37,0.8643,0.0431,6,1203
6,80000,C,8800,8850,-1,True,37,0.8525,0.0393,4,1211
7,80000,D,4850,4900,12600,True,37,0.8307,0.0413,4,1200
8,80000,D,3750,3900,5150,True,41,0.6983,0.0445,4,1211
9,80000,D,4300,4350,5650,True,36,0.8851,0.0392,6,1205
10,80000,D,3650,3700,5300,True,42,0.6910,0.0414,6,1214
11,80000,D,3650,3700,5100,True,38,0.8094,0.0425,5,1209
12,80000,C,8050,8100,-1,True,43,0.7004,0.0419,4,1214
13,80000,D,4750,4800,29700,True,36,0.8422,0.0393,4,1212
14,80000,D,4200,4250,5650,True,39,0.7376,0.0421,5,1204
15,80000,B,3900,-1,-1,True,20,0.0000,0.0847,17,1059
16,80000,D,3850,3900,10450,True,37,0.8603,0.0409,5,1211
17,80000,D,3600,3650,5150,True,43,0.6776,0.0400,6,1213
18,80000,D,4050,4100,5400,True,38,0.8296,0.0399,4,1216
19,80000,C,4800,4850,-1,True,37,0.8528,0.0405,4,1203
20,80000,D,3850,3900,5250,True,37,0.7584,0.0408,4,1205
21,80000,D,3800,4200,5000,True,37,0.8264,0.0417,5,1213
22,80000,D,4100,4150,5850,True,37,0.7790,0.0406,4,1203
23,80000,D,5250,5300,8600,True,42,0.7150,0.0400,4,1208
24,80000,D,4600,4650,7700,True,35,0.9247,0.0403,5,1214
25,80000,C,4800,4850,-1,True,41,0.7120,0.0382,4,1206
26,80000,D,3650,4050,4900,True,39,0.7885,0.0430,5,1199
27,80000,D,3750,3800,5650,True,36,0.8571,0.0389,5,1204
28,80000,D,5650,5700,7000,True,39,0.7900,0.0427,6,1213
29,80000,D,4700,4750,6100,True,44,0.6461,0.0405,6,1201
30,80000,D,4300,4350,5550,True,40,0.6799,0.0428,5,1205
31,80000,D,4650,4700,6000,True,38,0.8403,0.0435,4,1206
32,80000,D,4800,4850,6350,True,37,0.8540,0.0416,4,1192
33,80000,D,3600,3650,4900,True,38,0.8008,0.0394,5,1199
34,80000,D,5300,5350,31350,True,41,0.6367,0.0413,4,1207
35,80000,D,4800,4850,19000,True,42,0.6483,0.0410,4,1214
36,80000,C,4750,4800,-1,True,35,0.9310,0.0417,3,1199
37,80000,C,4800,4850,-1,True,41,0.6985,0.0416,4,1210
38,80000,D,3850,3900,5000,True,40,0.7066,0.0420,6,1203
39,80000,B,3450,-1,-1,True,0,0.0000,1.0000,0,381
40,80000,C,4700,4750,-1,True,39,0.7571,0.0420,4,1201
41,80000,D,3950,4000,6100,True,39,0.8235,0.0411,4,1211
42,80000,D,3650,3700,5800,True,40,0.7956,0.0410,5,1215
43,80000,D,3750,3800,5400,True,37,0.8329,0.0425,4,1203
44,80000,B,3600,-1,-1,True,9,0.0000,0.1395,18,1057
45,80000,D,4350,4400,5650,True,46,0.5787,0.0417,6,1209
46,80000,D,3850,3900,5250,True,36,0.8078,0.0418,6,1207
47,80000,D,4250,4300,5450,True,38,0.8272,0.0402,7,1214
48,80000,D,3800,3850,6050,True,36,0.9072,0.0410,4,1208
49,80000,D,3700,3750,5050,True,37,0.7843,0.0418,6,1206
50,80000,D,4150,4200,27400,True,36,0.9032,0.0397,4,1211
51,80000,D,4350,4400,6000,True,41,0.6080,0.0412,4,1210
52,80000,D,4350,4400,5800,True,38,0.7477,0.0401,4,1210
53,80000,D,3950,4000,5600,True,42,0.6964,0.0425,5,1226
54,80000,D,3700,3750,5400,True,42,0.6445,0.0405,5,1217
55,80000,D,5300,5350,6600,True,40,0.7190,0.0427,6,1207
56,80000,C,4750,4800,-1,True,38,0.7950,0.0395,4,1203
57,80000,D,4700,4750,6550,True,41,0.7211,0.0432,4,1212
58,80000,D,3750,3800,5600,True,41,0.7249,0.0411,4,1211
59,80000,C,5300,5350,-1,True,39,0.7436,0.0410,3,1212
60,80000,D,3900,4150,4950,True,40,0.7105,0.0402,6,1214
