tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0079,1.0000,88.81
200,15,0.0290,1.0000,86.51
250,15,0.0366,1.0000,84.65
300,15,0.0451,1.0000,83.15
350,15,0.0541,1.0000,81.93
400,15,0.0717,1.0000,80.93
450,15,0.0791,1.0000,80.11
500,15,0.0856,1.0000,79.45
550,15,0.0914,1.0000,78.90
600,15,0.1008,1.0000,78.46
650,16,0.0982,1.0000,77.35
700,19,0.0545,1.0000,75.41
750,22,0.0469,1.0000,70.38
800,26,0.0417,1.0000,63.55
850,30,0.0193,1.0000,55.49
900,30,0.0274,1.0000,49.36
950,30,0.0361,1.0000,45.43
1000,30,0.0505,1.0000,42.91
1050,30,0.0605,1.0000,41.29
1100,30,0.0737,1.0000,40.23
1150,30,0.0808,1.0000,39.54
1200,30,0.0896,1.0000,39.09
1250,27,0.1054,1.0000,38.91
1300,20,0.1528,1.0000,41.95
1350,19,0.1668,1.0000,46.21
1400,18,0.1838,1.0000,50.23
1450,18,0.1884,1.0000,53.36
1500,18,0.1945,1.0000,55.73
1550,18,0.1979,1.0000,57.52
1600,18,0.2019,1.0000,58.87
1650,18,0.2044,1.0000,59.89
1700,18,0.2076,1.0000,60.66
1750,18,0.2094,1.0000,61.24
1800,18,0.2115,1.0000,61.67
1850,20,0.1915,1.0000,61.10
1900,22,0.1430,1.0000,58.70
1950,25,0.1252,1.0000,55.62
2000,29,0.0867,1.0000,51.02
2050,31,0.0850,1.0000,46.41
2100,33,0.0698,1.0000,42.58
2150,22,0.0841,1.0000,41.57
2200,9,0.2535,1.0000,49.11
2250,9,0.3090,1.0000,59.02
2300,9,0.3953,1.0000,67.57
2350,9,0.4545,1.0000,74.93
2400,9,0.5239,1.0000,81.23
2450,9,0.5746,1.0000,86.61
2500,9,0.6284,1.0000,91.20
2550,9,0.6597,1.0000,95.12
2600,9,0.6963,1.0000,98.45
2650,9,0.7230,1.0000,99.71
2700,10,0.6095,1.0000,99.68
2750,11,0.5640,1.0000,99.62
2800,12,0.4757,1.0000,98.84
2850,14,0.3345,1.0000,95.58
2900,17,0.1891,1.0000,91.21
2950,18,0.1656,1.0000,84.72
3000,18,0.2125,1.0000,79.53
3050,18,0.2885,1.0000,75.44
3100,18,0.3823,1.0000,72.18
3150,18,0.4481,1.0000,69.55
3200,18,0.5175,1.0000,67.44
3250,18,0.5690,1.0000,65.74
3300,18,0.6215,1.0000,64.37
3350,18,0.6563,1.0000,63.27
3400,18,0.6929,1.0000,62.38
3450,18,0.7201,1.0000,61.67
3500,18,0.7478,1.0000,61.08
3550,19,0.6942,1.0000,60.54
3600,22,0.5518,0.1840,57.82
3650,24,0.4828,0.1840,54.94
3700,27,0.3807,0.1840,51.39
3750,29,0.3327,0.1840,47.12
3800,29,0.3673,0.1840,43.95
3850,31,0.3428,0.2040,41.58
3900,33,0.3345,0.2040,38.77
3950,35,0.3196,0.2040,36.08
4000,36,0.3438,0.2040,34.01
4050,34,0.4248,0.2040,32.99
4100,34,0.4959,0.2040,32.71
4150,34,0.5582,0.2040,32.45
4200,32,0.6533,0.2139,32.51
4250,32,0.7053,0.2139,32.92
4300,32,0.7498,0.2139,33.09
4350,32,0.7853,0.2139,33.13
4400,32,0.8170,0.2139,33.11
4450,32,0.8445,0.2139,33.05
4500,32,0.8680,0.2139,32.98
4550,32,0.8867,0.2139,32.91
4600,32,0.9034,0.2139,32.84
4650,32,0.9179,0.2139,32.77
4700,32,0.9303,0.2139,32.72
4750,32,0.9402,0.2139,32.67
4800,32,0.9490,0.2139,32.62
4850,32,0.9567,0.2139,32.59
4900,32,0.9632,0.2139,32.56
4950,32,0.9684,0.2139,32.53
5000,32,0.9731,0.2139,32.51
5050,32,0.9771,0.2139,32.49
5100,32,0.9806,0.2139,32.47
5150,33,0.9325,0.2139,32.24
5200,33,0.9328,0.2139,31.97
5250,36,0.7996,0.2139,31.04
5300,39,0.6844,0.2139,29.94
5350,42,0.5960,0.2139,28.55
5400,42,0.6152,0.2139,27.16
5450,43,0.6155,0.2139,26.37
5500,43,0.6363,0.2139,25.81
5550,40,0.6609,0.2139,25.99
5600,37,0.7150,0.2139,26.90
5650,38,0.6501,0.2706,27.86
5700,40,0.6072,0.2706,27.68
5750,44,0.4836,0.3113,27.20
5800,46,0.4091,0.3113,25.63
5850,46,0.4416,0.3113,24.76
5900,46,0.4498,0.3654,24.26
5950,44,0.4981,0.3654,24.37
6000,38,0.5870,0.3654,25.16
6050,35,0.6635,0.3654,27.28
6100,36,0.6708,0.3654,28.46
6150,36,0.6797,0.3876,29.10
6200,34,0.7335,0.3876,29.73
6250,34,0.7626,0.3876,30.40
6300,34,0.7997,0.3876,30.74
6350,34,0.8264,0.3876,30.88
