seed,max_ticks,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
0,10000,C,5500,5550,-1,True,43,0.5546,0.1003,3,142
1,10000,D,4600,4650,6400,True,35,0.8164,0.1800,4,144
2,10000,D,4100,4150,6150,True,34,0.9863,0.2672,4,135
3,10000,D,5300,5350,7000,True,42,0.6867,0.1478,4,136
4,10000,D,4250,4300,6000,True,34,0.9316,0.2231,4,133
5,10000,D,5350,5400,7100,True,44,0.5650,0.1181,4,144
6,10000,D,3750,3800,5350,True,42,0.5927,0.2046,4,143
7,10000,D,5200,5250,6950,True,38,0.6564,0.1167,4,146
8,10000,C,5550,5600,-1,True,47,0.4159,0.1018,3,148
9,10000,D,3700,3750,5500,True,43,0.6734,0.2532,5,139
10,10000,D,4250,4300,5850,True,37,0.8543,0.2552,5,136
11,10000,C,5300,5350,-1,True,44,0.5952,0.1214,4,143
12,10000,D,5550,5600,7050,True,45,0.5696,0.1226,4,142
13,10000,D,5250,5300,8850,True,44,0.5543,0.1286,4,144
14,10000,C,5500,5550,-1,True,44,0.5351,0.1521,3,148
15,10000,C,9500,9550,-1,True,47,0.5408,0.1733,3,146
16,10000,D,3850,3900,5500,True,48,0.4811,0.2327,5,141
17,10000,D,4450,4500,6000,True,34,0.9895,0.2221,4,133
18,10000,C,4650,4700,-1,True,33,0.9373,0.1855,3,139
19,10000,C,5350,5400,-1,True,44,0.5467,0.1260,3,147
20,10000,D,4350,4400,6150,True,34,0.9826,0.2474,4,134
21,10000,C,5550,5600,-1,True,40,0.7118,0.1337,3,137
22,10000,C,4550,4600,-1,True,35,0.8530,0.1620,4,142
23,10000,D,3950,4000,5750,True,36,0.8979,0.2783,5,133
24,10000,C,4950,5000,-1,True,42,0.5846,0.1623,3,146
25,10000,C,5000,5050,-1,True,36,0.7946,0.1600,4,141
26,10000,D,4000,4150,5750,True,35,0.9951,0.3407,4,132
27,10000,D,3400,3450,5400,True,45,0.5573,0.2235,5,146
28,10000,D,5350,5400,7050,True,43,0.5183,0.1036,4,146
29,10000,D,3850,3900,5250,True,41,0.6648,0.2657,5,138
30,10000,C,5150,5200,-1,True,43,0.5300,0.1528,3,151
31,10000,D,4350,4400,5750,True,35,0.9468,0.2306,5,136
32,10000,C,5350,5400,-1,True,42,0.6170,0.1593,3,148
33,10000,C,5300,5350,-1,True,41,0.5499,0.1374,3,147
34,10000,C,4950,5000,-1,True,35,0.8428,0.1717,3,142
35,10000,D,3700,3750,5000,True,35,0.8846,0.2645,5,140
36,10000,D,3750,3800,5450,True,42,0.5938,0.2187,5,144
37,10000,D,4250,4300,5950,True,33,0.9922,0.2488,4,131
38,10000,C,4750,4800,-1,True,34,0.8840,0.1555,3,141
39,10000,D,4700,4750,6300,True,35,0.8609,0.1726,5,142
40,10000,D,4300,4350,6100,True,33,0.9885,0.2287,4,131
41,10000,C,5500,5550,-1,True,41,0.6184,0.1395,3,144
42,10000,C,5300,5350,-1,True,41,0.6160,0.1423,3,142
43,10000,C,6000,6050,-1,True,45,0.5080,0.1429,4,147
44,10000,C,4850,4900,-1,True,36,0.7242,0.1313,3,146
45,10000,C,5250,5300,-1,True,38,0.6143,0.1374,3,145
46,10000,D,3750,3800,5750,True,40,0.7046,0.2611,5,136
47,10000,C,5350,5400,-1,True,41,0.5895,0.1124,3,145
48,10000,C,4800,4850,-1,True,35,0.8331,0.1661,3,142
49,10000,D,4900,4950,8450,True,35,0.8337,0.1759,4,144
50,10000,D,5200,5250,6850,True,39,0.6643,0.1228,6,143
51,10000,C,4750,4800,-1,True,38,0.7577,0.1791,3,144
52,10000,C,9550,9600,-1,True,44,0.5828,0.1828,4,146
53,10000,C,5750,5800,-1,True,39,0.7645,0.1112,3,137
54,10000,D,3950,4000,5350,True,39,0.8239,0.2473,5,134
55,10000,C,7500,7550,-1,True,40,0.6419,0.1418,3,147
56,10000,D,5550,5600,7300,True,44,0.5485,0.1140,4,140
57,10000,D,3700,3750,5100,True,40,0.6473,0.2573,4,142
58,10000,C,5100,5150,-1,True,43,0.5354,0.1450,3,150
59,10000,D,4050,4100,5700,True,34,0.9402,0.2585,5,134
60,10000,C,5400,5450,-1,True,48,0.4404,0.1393,4,150
61,10000,C,5200,5250,-1,True,40,0.5874,0.1172,3,147
62,10000,C,6150,6200,-1,True,36,0.9693,0.1367,2,141
63,10000,D,5400,5450,6850,True,39,0.6631,0.1233,4,144
64,10000,D,4400,4450,6150,True,37,0.8861,0.2157,5,139
65,10000,B,3350,-1,-1,True,24,0.0000,0.0999,4,138
66,10000,C,5950,6000,-1,True,36,0.9007,0.1324,3,133
67,10000,D,3850,3900,5400,True,41,0.5744,0.2200,5,144
68,10000,C,4750,4800,-1,True,34,0.8430,0.1507,3,140
69,10000,C,6050,6100,-1,True,34,0.9921,0.1207,2,134
70,10000,D,5000,5050,6350,True,39,0.6912,0.1719,4,143
71,10000,D,4150,4200,5800,True,34,0.9363,0.2405,4,135
72,10000,C,5350,5400,-1,True,44,0.5747,0.1766,4,147
73,10000,C,5350,5400,-1,True,39,0.6302,0.1471,3,149
74,10000,C,5050,5100,-1,True,32,0.9019,0.1504,3,143
75,10000,D,4400,4450,5650,True,39,0.7825,0.2297,6,137
76,10000,C,6050,6100,-1,True,35,0.9427,0.1199,3,135
