tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0160,1.0000,88.80
200,15,0.0655,1.0000,86.47
250,15,0.0896,1.0000,84.53
300,15,0.1109,1.0000,82.93
350,15,0.1296,1.0000,81.61
400,15,0.1605,1.0000,80.52
450,15,0.1732,1.0000,79.61
500,15,0.1845,1.0000,78.86
550,15,0.1943,1.0000,78.24
600,15,0.2106,1.0000,77.73
650,15,0.2174,1.0000,77.30
700,16,0.2093,1.0000,76.11
750,21,0.1346,1.0000,71.63
800,25,0.0620,1.0000,65.57
850,28,0.0326,1.0000,58.83
900,30,0.0378,1.0000,51.78
950,30,0.0547,1.0000,46.94
1000,30,0.0876,1.0000,43.82
1050,30,0.1116,1.0000,41.78
1100,30,0.1325,1.0000,40.45
1150,30,0.1504,1.0000,39.57
1200,30,0.1716,1.0000,38.98
1250,30,0.1848,1.0000,38.58
1300,24,0.2448,1.0000,39.96
1350,21,0.2933,1.0000,42.54
1400,20,0.3247,1.0000,46.13
1450,19,0.3528,1.0000,49.29
1500,19,0.3620,1.0000,51.71
1550,19,0.3699,1.0000,53.49
1600,19,0.3792,1.0000,54.80
1650,19,0.3850,1.0000,55.76
1700,18,0.4116,1.0000,56.63
1750,16,0.4679,1.0000,59.19
1800,16,0.4738,1.0000,61.35
1850,16,0.4774,1.0000,63.02
1900,16,0.4805,1.0000,64.31
1950,20,0.3507,1.0000,63.94
2000,24,0.2631,1.0000,59.86
2050,26,0.2163,1.0000,54.75
2100,29,0.1556,1.0000,49.62
2150,30,0.1416,1.0000,45.53
2200,27,0.1613,1.0000,42.52
2250,20,0.2375,1.0000,44.08
2300,16,0.3657,1.0000,48.95
2350,16,0.4448,1.0000,53.48
2400,16,0.5345,1.0000,56.89
2450,16,0.6005,1.0000,59.43
2500,16,0.6521,1.0000,61.29
2550,16,0.7047,1.0000,62.64
2600,16,0.7543,1.0000,63.61
2650,16,0.7892,1.0000,64.29
2700,16,0.8164,1.0000,64.76
2750,16,0.8442,1.0000,65.07
2800,16,0.8703,1.0000,65.27
2850,16,0.8887,1.0000,65.39
2900,16,0.9031,1.0000,65.45
2950,16,0.9177,1.0000,65.47
3000,17,0.8359,1.0000,64.92
3050,18,0.7593,1.0000,63.82
3100,22,0.5067,1.0000,60.99
3150,23,0.4639,1.0000,57.63
3200,27,0.3144,1.0000,53.90
3250,31,0.2166,1.0000,48.12
3300,32,0.2280,1.0000,43.32
3350,32,0.3081,1.0000,40.12
3400,32,0.4039,1.0000,38.02
3450,32,0.4869,1.0000,36.60
3500,32,0.5541,1.0000,35.61
3550,32,0.6257,1.0000,34.90
3600,32,0.6843,1.0000,34.38
3650,32,0.7292,1.0000,33.99
3700,32,0.7646,1.0000,33.70
3750,32,0.8025,1.0000,33.47
3800,32,0.8334,1.0000,33.28
3850,32,0.8571,1.0000,33.13
3900,32,0.8758,1.0000,33.01
3950,32,0.8957,1.0000,32.91
4000,32,0.9120,1.0000,32.83
4050,32,0.9246,1.0000,32.76
4100,32,0.9344,1.0000,32.70
4150,32,0.9450,1.0000,32.65
4200,32,0.9536,1.0000,32.61
4250,32,0.9602,1.0000,32.57
4300,32,0.9654,1.0000,32.54
4350,32,0.9709,1.0000,32.52
4400,32,0.9755,1.0000,32.50
4450,32,0.9790,1.0000,32.48
4500,32,0.9817,1.0000,32.46
4550,33,0.9328,1.0000,32.21
4600,35,0.8402,1.0000,31.64
4650,36,0.7988,1.0000,30.67
4700,38,0.7248,1.0000,29.85
4750,41,0.6367,1.0000,28.38
4800,45,0.5360,1.0000,26.86
4850,47,0.5101,1.0000,25.02
4900,44,0.5215,1.0000,24.28
4950,44,0.5452,1.0000,24.37
5000,40,0.5991,1.0000,25.15
5050,39,0.5733,0.2198,26.06
5100,40,0.5452,0.2198,26.80
5150,41,0.5252,0.2217,26.95
5200,41,0.5395,0.2344,26.79
5250,44,0.4756,0.2395,26.19
5300,44,0.4667,0.2395,25.56
5350,42,0.5160,0.2395,25.65
5400,39,0.5895,0.2395,26.25
5450,38,0.6501,0.2395,27.10
5500,34,0.7379,0.2395,28.12
5550,33,0.7902,0.2395,29.54
5600,32,0.8364,0.2395,30.80
5650,32,0.8586,0.2395,31.67
5700,32,0.8779,0.2395,32.15
5750,32,0.8968,0.2395,32.40
5800,32,0.9136,0.2395,32.53
5850,32,0.9254,0.2395,32.58
5900,32,0.9356,0.2395,32.59
5950,32,0.9455,0.2395,32.59
6000,32,0.9544,0.2395,32.57
6050,32,0.9606,0.2395,32.55
6100,32,0.9660,0.2395,32.53
6150,32,0.9712,0.2395,32.51
6200,32,0.9759,0.2395,32.49
6250,32,0.9792,0.2395,32.47
6300,32,0.9820,0.2395,32.46
6350,32,0.9848,0.2395,32.45
